,Date,Stock,RS_Rating,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 Week High
0,2021-02-24,CAT,81.5110340611538,190.49,165.82,154.9,89.314208984375,222.47000122070312
1,2021-02-24,JPM,81.51050985870609,133.19,112.78,108.2,76.20140075683594,153.25999450683594
2,2021-02-24,LUV,81.12217588043407,48.08,42.24,39.92,23.8700008392334,59.290000915527344
3,2021-02-24,MAR,83.70280250869268,128.37,111.42,106.31,59.08000183105469,157.5
4,2021-02-24,PBCT,87.12520432830651,14.13,12.03,11.8,8.958492279052734,19.13999938964844
5,2021-02-24,RCL,82.0025958826602,72.83,67.57,63.6,22.32999992370605,112.5032730102539
6,2021-02-24,RHI,81.65773957072412,67.59,59.78,57.52,33.5467414855957,82.79000091552734
7,2021-02-24,RJF,81.3002220876769,102.82,86.33,82.04,53.987266540527344,122.6500015258789
8,2021-02-24,ZBRA,83.45050442874506,412.14,335.85,315.9,161.50999450683594,512.6900024414062
